ID,Protected_Area,Violation_Type,Year,Season,Area_m2,Distance_To_Road_km,Distance_To_Urban_km,Fine_Amount,Risk_Level
379,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2020,Spring,81917,17.5,36.5,114200,High
380,روضة التنهات,قطع الأشجار أو الاحتطاب,2011,Summer,886,2.9,1.6,20000,Medium
381,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2024,Summer,53438,18.2,40.6,225972,High
382,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2022,Winter,2319,8.7,34.0,11516,Medium
383,روضة التنهات,قطع الأشجار أو الاحتطاب,2002,Autumn,4205,4.6,19.8,20000,Medium
384,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2025,Summer,50,6.4,29.5,100,Low
385,روضة التنهات,قطع الأشجار أو الاحتطاب,2004,Summer,2135,10.6,26.1,20000,Medium
386,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2017,Autumn,96703,3.2,2.2,817744,High
387,الإمام تركي,دخول المحمية بدون تصريح,2004,Autumn,488,12.0,6.0,5000,Low
388,الملك خالد,ترك أو رمي النفايات غير الخطرة,2023,Autumn,125,2.9,24.8,2054,Low
389,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2009,Summer,75188,4.3,46.4,270931,High
390,الملك خالد,قطع الأشجار أو الاحتطاب,2004,Spring,1410,2.7,41.9,20000,Medium
391,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2012,Summer,36778,19.9,27.7,955238,High
392,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2004,Winter,410,6.9,27.5,200,Low
393,روضة التنهات,التخييم في المحمية بدون ترخيص,2009,Spring,171,16.7,22.6,8756,Low
394,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2011,Summer,60,6.9,14.2,5057,Low
395,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2014,Spring,80250,2.9,22.8,95376,High
396,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2024,Autumn,68922,17.6,31.5,180492,High
397,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2003,Spring,82988,0.9,24.3,239414,High
398,الإمام تركي,رعي الضأن أو الماعز (للرأس الواحد),2014,Autumn,73,12.0,18.3,100,Low
399,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2013,Spring,49789,15.9,14.5,36086,High
400,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2005,Summer,1382,19.6,24.7,20000,Medium
401,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2010,Autumn,2110,15.3,19.9,30000,Medium
402,روضة التنهات,إتلاف المنشآت الثابتة أو المسيجات,2018,Summer,41593,19.6,21.0,86304,High
403,الإمام تركي,رعي الضأن أو الماعز (للرأس الواحد),2007,Autumn,269,9.6,49.8,100,Low
404,روضة التنهات,التخلص من نفايات خطرة داخل المحمية,2002,Summer,7384,4.9,16.3,1246968,High
405,روضة التنهات,التخييم في المحمية بدون ترخيص,2021,Winter,440,14.7,38.4,7861,Low
406,الملك خالد,دخول المحمية بدون تصريح,2015,Autumn,332,2.8,15.7,5000,Low
407,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2018,Spring,4235,19.2,1.4,16906,Medium
408,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2003,Winter,4708,0.1,3.2,30000,Medium
409,روضة التنهات,التخلص من نفايات خطرة داخل المحمية,2000,Autumn,91156,16.5,40.6,47727,High
410,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2003,Spring,20038,14.5,14.7,495543,High
411,الإمام تركي,قطع الأشجار أو الاحتطاب,2012,Autumn,1598,2.3,40.6,20000,Medium
412,الملك خالد,التخييم في المحمية بدون ترخيص,2022,Spring,70,6.1,4.8,2330,Low
413,الملك خالد,سير المركبات في غير المسارات المخصصة,2001,Summer,153,14.2,33.7,7555,Low
414,الإمام تركي,إشعال النار في غير الأماكن المخصصة,2006,Winter,1738,8.2,45.4,20000,Medium
415,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2024,Winter,20592,12.1,18.5,158245,High
416,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2003,Autumn,346,17.4,23.2,100,Low
417,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2020,Autumn,30235,9.3,12.5,10159,High
418,الإمام تركي,قطع الأشجار أو الاحتطاب,2022,Summer,2807,15.5,14.3,20000,Medium
419,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2014,Winter,42713,1.2,37.7,254535,High
420,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2017,Autumn,94081,14.2,4.1,1301220,Medium
421,روضة التنهات,قطع الأشجار أو الاحتطاب,2010,Summer,1388,18.6,41.5,20000,Medium
422,روضة التنهات,دخول المحمية بدون تصريح,2012,Summer,171,15.8,44.7,5000,Low
423,روضة التنهات,قطع الأشجار أو الاحتطاب,2022,Spring,3171,13.5,6.7,20000,Medium
424,روضة التنهات,التخلص من نفايات خطرة داخل المحمية,2020,Summer,97122,0.2,9.2,49760,High
425,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2008,Winter,63272,19.0,35.4,521511,High
426,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2006,Autumn,10842,2.2,25.4,244187,High
427,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2006,Winter,1878,7.4,19.1,2519,Medium
428,روضة التنهات,جمع منتجات كائنات مهددة بالانقراض,2005,Summer,32364,14.4,19.2,206044,High
429,الملك خالد,إشعال النار في غير الأماكن المخصصة,2001,Winter,2505,13.6,30.8,20000,Medium
430,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2003,Winter,1439,14.3,10.8,20000,Medium
431,الملك عبدالعزيز,دخول المحمية بدون تصريح,2020,Autumn,236,16.5,39.3,5000,Low
432,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2003,Spring,66997,6.8,1.9,824604,High
433,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2023,Winter,29472,10.7,30.2,287954,High
434,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2015,Summer,1239,13.6,16.3,2401,Medium
435,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2014,Spring,4175,2.6,1.8,20000,Medium
436,روضة التنهات,جمع منتجات كائنات مهددة بالانقراض,2022,Spring,35116,6.7,17.7,393173,High
437,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2012,Summer,66240,11.4,33.5,161165,High
438,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2023,Autumn,316,16.6,30.7,100,Low
439,روضة التنهات,قطع الأشجار أو الاحتطاب,2001,Autumn,1143,14.2,46.9,20000,Medium
440,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2008,Summer,133,1.3,47.9,100,Low
441,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2021,Winter,3155,12.9,28.5,20000,Medium
442,روضة التنهات,دخول المحمية بدون تصريح,2009,Summer,99,2.9,31.5,5000,Low
443,روضة التنهات,إتلاف المنشآت الثابتة أو المسيجات,2010,Summer,93330,12.8,20.0,156956,High
444,روضة التنهات,التخلص من نفايات خطرة داخل المحمية,2008,Spring,37430,14.5,27.4,28091,High
445,الملك خالد,الزراعة داخل المحمية بدون ترخيص,2023,Spring,2276,10.0,12.3,30000,Medium
446,روضة التنهات,جمع منتجات كائنات مهددة بالانقراض,2004,Spring,32045,10.1,34.3,487985,High
447,الملك خالد,رعي الإبل أو الأبقار (للرأس الواحد),2002,Spring,95,11.0,9.8,200,Low
448,الملك خالد,التخييم في المحمية بدون ترخيص,2017,Summer,17,2.8,49.8,692,High
449,الإمام تركي,سير المركبات في غير المسارات المخصصة,2024,Autumn,79,14.3,49.1,9667,Low
450,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2025,Spring,68064,1.6,31.5,1908769,High
451,الملك عبدالعزيز,سير المركبات في غير المسارات المخصصة,2020,Autumn,380,18.9,48.0,9188,Low
452,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2014,Spring,75902,9.6,36.2,451927,High
453,روضة التنهات,دخول المحمية بدون تصريح,2021,Autumn,48,19.2,38.4,5000,Low
454,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2010,Winter,27601,18.5,12.2,1045811,High
455,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2024,Winter,2869,16.2,13.4,30000,Medium
456,الإمام تركي,سير المركبات في غير المسارات المخصصة,2001,Summer,150,5.8,20.5,1396,Low
457,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2002,Summer,98,7.9,38.0,5422,Low
458,روضة التنهات,حرق النباتات أو الأشجار,2019,Winter,4174,12.5,49.6,20000,Medium
459,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2019,Summer,68811,3.9,46.0,495376,High
460,الملك خالد,دخول المحمية بدون تصريح,2021,Spring,212,4.7,47.9,5000,Low
461,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2020,Summer,434,14.4,28.6,2980,Low
462,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2006,Spring,4454,7.1,44.8,30000,Medium
463,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2019,Winter,66844,9.6,25.4,1784029,High
464,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2024,Summer,1891,17.1,11.1,20000,Medium
465,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2007,Summer,770,9.3,5.7,30000,Medium
466,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2024,Winter,67433,13.1,8.4,188140,High
467,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2008,Winter,12415,7.9,27.8,1828902,High
468,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2006,Spring,1199,14.5,10.8,15901,Medium
469,روضة التنهات,التخييم في المحمية بدون ترخيص,2011,Spring,221,1.1,10.4,5834,Low
470,الإمام تركي,رعي الضأن أو الماعز (للرأس الواحد),2017,Spring,429,17.0,21.7,100,Low
471,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2014,Spring,28064,3.7,19.2,1608575,High
472,الملك عبدالعزيز,حرق النباتات أو الأشجار,2016,Autumn,4099,7.9,29.9,20000,Medium
473,الإمام تركي,حرق النباتات أو الأشجار,2008,Winter,2322,0.5,14.2,20000,Medium
474,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2020,Winter,19,6.0,36.0,3832,Low
475,الملك خالد,التخلص من نفايات خطرة داخل المحمية,2007,Summer,47712,18.7,41.5,925114,High
476,الملك عبدالعزيز,حرق النباتات أو الأشجار,2024,Winter,2414,2.5,7.1,20000,Medium
477,الملك خالد,دخول المحمية بدون تصريح,2019,Winter,178,7.0,17.4,5000,Low
478,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2016,Summer,46520,8.8,27.9,30675,High
479,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2018,Summer,109,14.7,19.8,100,Low
480,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2003,Autumn,23919,19.4,22.4,54173,High
481,الإمام تركي,التخييم في المحمية بدون ترخيص,2000,Winter,348,19.3,3.5,5197,Low
482,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2011,Autumn,399,16.0,28.1,1999,Low
483,الإمام تركي,دخول المحمية بدون تصريح,2001,Autumn,467,13.6,31.6,5000,Low
484,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2017,Autumn,91328,6.3,46.8,267060,High
485,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2011,Spring,16442,3.3,10.2,96289,High
486,روضة التنهات,دخول المحمية بدون تصريح,2024,Autumn,398,12.5,17.4,5000,Low
487,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2021,Winter,5887,1.8,17.3,303946,High
488,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2006,Summer,82789,19.6,39.5,134526,High
489,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2023,Spring,224,15.0,6.0,200,Low
490,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2016,Spring,4956,1.4,26.4,30000,Medium
491,الملك خالد,الزراعة داخل المحمية بدون ترخيص,2016,Summer,1841,3.9,29.5,30000,Medium
492,روضة التنهات,سير المركبات في غير المسارات المخصصة,2001,Autumn,80,10.4,37.3,7362,Low
493,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2014,Spring,4617,11.9,9.4,30000,Medium
494,الملك عبدالعزيز,دخول المحمية بدون تصريح,2014,Spring,50,12.0,31.6,5000,Low
495,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2000,Autumn,24233,5.1,34.1,778917,High
496,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2018,Spring,4695,0.1,9.5,20000,Medium
497,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2001,Spring,3494,4.1,29.8,30000,Medium
498,روضة التنهات,التخييم في المحمية بدون ترخيص,2000,Spring,293,5.1,23.1,4596,Low
499,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2009,Spring,2593,4.4,33.6,13905,Medium
500,الإمام تركي,قطع الأشجار أو الاحتطاب,2014,Summer,3990,1.8,40.6,20000,Medium
501,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2010,Winter,388,19.9,12.2,8464,Low
502,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2022,Summer,4517,1.9,10.8,30000,Medium
503,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2015,Spring,59318,4.4,14.3,113423,High
504,الملك عبدالعزيز,دخول المحمية بدون تصريح,2015,Spring,70,4.4,30.3,5000,Low
505,الملك خالد,ترك أو رمي النفايات غير الخطرة,2012,Autumn,147,16.5,46.7,2361,Low
506,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2013,Spring,5869,19.8,15.3,147088,High
507,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2000,Spring,3056,6.7,43.4,30061,Medium
508,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2005,Spring,2373,8.3,43.8,13855,Medium
509,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2021,Autumn,98809,15.7,21.6,140299,High
510,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2014,Winter,4851,9.4,2.4,30000,Medium
511,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2015,Winter,18261,5.3,8.8,126709,High
512,روضة التنهات,التخلص من نفايات خطرة داخل المحمية,2019,Summer,40529,17.6,40.9,642787,High
513,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2022,Winter,17356,5.1,26.2,138128,High
514,روضة التنهات,التخييم في المحمية بدون ترخيص,2004,Autumn,328,6.2,45.8,4127,Low
515,الملك خالد,الزراعة داخل المحمية بدون ترخيص,2020,Winter,1700,18.8,43.9,30000,Medium
516,روضة التنهات,قطع الأشجار أو الاحتطاب,2009,Summer,2656,4.0,43.1,20000,Medium
517,روضة التنهات,سير المركبات في غير المسارات المخصصة,2014,Winter,480,8.8,30.9,8343,Low
518,الإمام تركي,التخييم في المحمية بدون ترخيص,2001,Winter,169,3.4,1.1,1847,Low
519,الملك خالد,سير المركبات في غير المسارات المخصصة,2009,Summer,27,7.0,21.3,4957,Low
520,الملك خالد,الزراعة داخل المحمية بدون ترخيص,2009,Autumn,2173,11.7,6.8,30000,Medium
521,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2014,Spring,176,7.9,12.5,200,Low
522,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2018,Summer,2910,8.4,22.0,20000,Medium
523,الملك خالد,إشعال النار في غير الأماكن المخصصة,2000,Spring,948,6.6,27.8,20000,Medium
524,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2006,Autumn,248,10.0,46.7,1204,Low
525,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2025,Winter,4666,15.3,34.3,30000,Medium
526,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2002,Summer,5192,17.2,34.0,257536,High
527,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2008,Autumn,35698,17.6,36.8,676015,High
528,الملك عبدالعزيز,التخلص من نفايات خطرة داخل المحمية,2008,Summer,38272,9.8,17.3,637405,High
529,الملك خالد,التخييم في المحمية بدون ترخيص,2020,Spring,348,17.7,23.8,858,Low
530,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2021,Spring,1755,4.1,4.3,24185,Medium
531,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2016,Winter,194,17.0,27.7,100,Low
532,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2009,Winter,11476,4.7,47.2,494972,High
533,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2019,Summer,78933,14.2,19.3,203407,High
534,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2016,Winter,116,7.6,41.7,100,Low
535,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2003,Autumn,133,2.2,3.4,100,Low
536,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2019,Winter,2392,7.1,34.2,30000,Medium
537,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2005,Winter,94791,3.5,10.6,1492795,High
538,الملك خالد,التخلص من نفايات خطرة داخل المحمية,2009,Winter,98583,8.7,38.9,1785438,High
539,روضة التنهات,قطع الأشجار أو الاحتطاب,2021,Autumn,4145,9.5,36.1,20000,Medium
540,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2010,Summer,1454,17.4,36.5,20000,Medium
541,الملك عبدالعزيز,التخلص من نفايات خطرة داخل المحمية,2016,Autumn,57953,8.9,23.1,1531273,High
542,الملك خالد,قطع الأشجار أو الاحتطاب,2000,Spring,3052,18.8,32.2,20000,Medium
543,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2014,Summer,165,5.4,33.4,1922,Low
544,الملك عبدالعزيز,ترك أو رمي النفايات غير الخطرة,2000,Autumn,288,15.5,37.6,5933,Low
545,الملك عبدالعزيز,التخلص من نفايات خطرة داخل المحمية,2014,Winter,8748,8.4,44.5,1289670,High
546,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2023,Autumn,2337,6.5,45.0,20000,Medium
547,الإمام تركي,التخييم في المحمية بدون ترخيص,2021,Winter,464,16.9,13.2,4372,Low
548,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2009,Summer,3235,18.1,46.7,20000,Medium
549,روضة التنهات,دخول المحمية بدون تصريح,2002,Autumn,172,6.2,16.6,5000,Low
550,الإمام تركي,دخول المحمية بدون تصريح,2015,Winter,414,11.4,16.3,5000,Low
551,الإمام تركي,قطع الأشجار أو الاحتطاب,2022,Summer,665,14.2,16.1,20000,Medium
552,الملك عبدالعزيز,دخول المحمية بدون تصريح,2009,Summer,451,12.5,43.4,5000,Low
553,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2010,Winter,80324,8.9,35.7,81196,High
554,الملك عبدالعزيز,ترك أو رمي النفايات غير الخطرة,2004,Summer,220,7.5,31.3,7039,Low
555,روضة التنهات,سير المركبات في غير المسارات المخصصة,2010,Winter,59,18.8,25.7,5432,Low
556,الملك خالد,دخول المحمية بدون تصريح,2011,Winter,64,2.3,46.3,5000,Low
557,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2000,Autumn,1070,1.5,28.2,33254,Medium
558,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2016,Winter,44104,0.9,29.4,159134,High
559,الملك خالد,رعي الإبل أو الأبقار (للرأس الواحد),2011,Autumn,443,12.2,35.3,200,High
560,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2016,Spring,61541,17.6,29.6,144327,High
561,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2007,Winter,28989,7.2,3.5,118106,High
562,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2006,Autumn,2887,17.7,33.3,30000,Medium
563,روضة التنهات,دخول المحمية بدون تصريح,2008,Summer,248,7.6,40.2,5000,Low
564,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2014,Summer,47788,12.1,31.3,125945,High
565,روضة التنهات,رعي الإبل أو الأبقار (للرأس الواحد),2016,Winter,375,1.4,48.8,200,Low
566,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2011,Spring,1424,7.8,4.5,30000,Medium
567,الملك خالد,دخول المحمية بدون تصريح,2014,Winter,285,18.9,4.7,5000,Low
568,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2022,Autumn,62124,2.4,1.4,115149,High
569,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2006,Autumn,201,4.7,7.4,200,Low
570,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2017,Autumn,62980,3.5,45.0,26351,High
571,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2022,Summer,353,1.7,24.7,100,Low
572,الملك عبدالعزيز,رعي الإبل أو الأبقار (للرأس الواحد),2013,Autumn,105,9.6,39.2,200,Low
573,الإمام تركي,سير المركبات في غير المسارات المخصصة,2024,Summer,121,9.2,16.0,5662,Low
574,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2011,Autumn,46185,7.0,27.8,1829400,High
575,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2016,Autumn,115,10.8,42.2,100,Low
576,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2011,Autumn,4302,9.5,33.1,20000,Medium
577,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2006,Autumn,11587,16.0,7.0,112790,High
578,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2018,Winter,3377,19.0,9.6,36303,Medium
579,روضة التنهات,سير المركبات في غير المسارات المخصصة,2024,Winter,355,4.7,28.1,469,Low
580,الملك عبدالعزيز,دخول المحمية بدون تصريح,2002,Autumn,495,17.1,9.1,5000,Low
581,الإمام تركي,التخييم في المحمية بدون ترخيص,2022,Autumn,255,12.1,29.3,2985,Low
582,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2011,Winter,2553,18.8,44.8,26805,Medium
583,الإمام تركي,رعي الضأن أو الماعز (للرأس الواحد),2008,Summer,358,3.6,34.0,100,Low
584,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2009,Spring,81537,15.1,31.6,685302,High
585,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2012,Winter,23931,5.4,28.2,102876,High
586,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2014,Summer,4704,12.2,46.3,30000,Medium
587,روضة التنهات,حرق النباتات أو الأشجار,2021,Spring,2020,14.1,31.1,20000,Medium
588,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2017,Winter,57509,7.6,35.7,202478,High
589,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2008,Autumn,69093,10.3,31.1,1499556,High
590,الملك خالد,سير المركبات في غير المسارات المخصصة,2000,Autumn,488,8.8,42.1,7269,Low
591,الإمام تركي,دخول المحمية بدون تصريح,2012,Spring,107,6.8,23.8,5000,Low
592,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2018,Summer,3451,7.7,40.3,19074,Medium
593,الإمام تركي,دخول المحمية بدون تصريح,2020,Autumn,360,4.8,34.2,5000,Low
594,الإمام تركي,إشعال النار في غير الأماكن المخصصة,2018,Spring,4985,6.4,37.7,20000,Medium
595,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2001,Summer,2468,5.9,17.3,21706,Medium
596,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2001,Spring,46830,13.1,10.4,284139,High
597,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2012,Autumn,61563,18.3,17.6,1287507,High
598,الملك خالد,ترك أو رمي النفايات غير الخطرة,2002,Spring,474,8.8,39.9,4176,Low
599,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2007,Autumn,2461,16.7,46.8,20000,Medium
600,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2011,Summer,53003,1.9,9.0,70389,High
601,الملك عبدالعزيز,حرق النباتات أو الأشجار,2021,Spring,3296,10.1,13.1,20000,Medium
602,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2004,Summer,1415,11.6,45.3,30000,Medium
603,الملك خالد,دخول المحمية بدون تصريح,2011,Spring,473,9.3,43.4,5000,Low
604,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2022,Autumn,23782,18.2,16.4,390401,High
605,روضة التنهات,قطع الأشجار أو الاحتطاب,2019,Winter,4172,18.8,30.6,20000,Medium
606,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2025,Spring,2544,5.8,25.1,20000,Medium
607,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2005,Winter,311,11.7,20.1,100,Low
608,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2021,Autumn,373,18.6,41.2,9662,Low
609,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2010,Winter,460,18.9,5.1,8409,Low
610,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2005,Winter,60161,7.3,5.5,857084,High
611,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2011,Autumn,3299,0.7,33.3,31209,Medium
612,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2021,Autumn,3264,6.0,47.0,30000,Medium
613,الملك خالد,رعي الإبل أو الأبقار (للرأس الواحد),2022,Summer,466,8.7,18.0,200,Medium
614,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2009,Spring,2111,11.5,7.8,22031,Medium
615,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2014,Winter,10454,17.9,39.9,1657824,High
616,روضة التنهات,قطع الأشجار أو الاحتطاب,2012,Spring,3149,16.7,18.6,20000,Medium
617,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2012,Winter,23,16.2,41.4,200,Low
618,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2014,Winter,14275,8.5,30.5,678629,High
619,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2024,Spring,75021,12.4,17.3,117205,High
620,الملك خالد,التخييم في المحمية بدون ترخيص,2016,Summer,400,18.8,33.4,7766,Low
621,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2016,Summer,23019,16.7,40.9,85426,High
622,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2013,Winter,42952,8.3,34.1,150706,High
623,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2015,Spring,248,11.2,2.4,100,Low
624,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2007,Autumn,355,14.2,5.7,9699,Low
625,الإمام تركي,دخول المحمية بدون تصريح,2023,Autumn,168,4.5,44.4,5000,Low
626,الإمام تركي,حرق النباتات أو الأشجار,2005,Spring,1501,5.8,5.5,20000,Medium
627,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2022,Winter,86780,8.9,44.8,1020396,High
628,الملك خالد,قطع الأشجار أو الاحتطاب,2022,Spring,2475,8.7,19.6,20000,Medium
629,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2009,Autumn,3717,11.0,14.4,30000,Medium
630,الملك خالد,ترك أو رمي النفايات غير الخطرة,2003,Summer,385,16.6,35.9,4962,Low
